id,date,wl,mean_temp,precip
CWF-4B,1985-01-01,3762.54,43.836409220000,0.000000000000000000
CWF-4B,1985-02-01,3762.08,49.985060100000,0.000000000000000000
CWF-4B,1985-03-01,3763.03,44.517247320000,0.000000000000000000
CWF-4B,1985-04-01,3764.48,71.795476680000,0.000000000000000000
CWF-4B,1985-05-01,3762.79,73.947465330000,0.000000000000000000
CWF-4B,1985-06-01,3762.37,75.010331740000,0.000000000000000000
CWF-4B,1985-07-01,3762.89,85.418819920000,0.000000000000000000
CWF-4B,1985-11-01,3763.40,50.501358325000,0.000000000000000000
CWF-4B,1985-12-01,3763.69,42.025914740625,0.000000000000000000
CWF-4B,1986-01-01,3764.77,49.380951040000,0.000000000000000000
CWF-4B,1986-02-01,3763.98,63.857499130000,0.000000000000000000
CWF-4B,1986-03-01,3764.35,45.007397590000,0.000000000000000000
CWF-4B,1986-04-01,3763.69,67.019276290000,0.000000000000000000
CWF-4B,1986-06-01,3764.82,74.479546760000,0.048594258000000000
CWF-4B,1986-07-01,3765.53,77.990426850000,0.194396390000000000
CWF-4B,1986-08-01,3765.00,76.957508130000,0.001837471000000000
CWF-4B,1986-09-01,3766.02,75.494570170000,0.000000000000000000
CWF-4B,1986-10-01,3764.46,66.494438310000,0.000000000000000000
CWF-4B,1986-11-01,3763.57,44.469617115000,0.000000000000000000
CWF-4B,1987-01-01,3763.75,36.024247640000,0.000000000000000000
CWF-4B,1987-02-01,3763.76,36.516733100000,0.000000000000000000
CWF-4B,1987-03-01,3761.74,49.482388820000,0.000079080000000000
CWF-4B,1987-05-01,3762.56,68.489268410000,0.000000000000000000
CWF-4B,1987-06-01,3761.79,82.899543630000,0.000000000000000000
CWF-4B,1987-07-01,3760.50,80.006047990000,0.000000000000000000
CWF-4B,1987-08-01,3764.80,81.464241130000,0.006357173000000000
CWF-4B,1987-09-01,3764.11,61.624854030000,0.000000000000000000
CWF-4B,1987-10-01,3761.59,64.477842830000,0.000000000000000000
CWF-4B,1987-11-01,3762.45,52.486704180000,0.000000000000000000
CWF-4B,1987-12-01,3762.45,41.508861360000,0.000000000000000000
CWF-4B,1988-01-01,3762.66,37.980795350000,0.000000000000000000
CWF-4B,1988-02-01,3762.42,47.983258940000,0.000000000000000000
CWF-4B,1988-03-01,3762.21,52.010024290000,0.000000000000000000
CWF-4B,1988-04-01,3763.02,65.000980100000,0.000000000000000000
CWF-4B,1988-05-01,3763.00,65.964285700000,0.000000000000000000
CWF-4B,1988-06-01,3762.96,83.492175470000,0.000000000000000000
CWF-4B,1988-07-01,3764.35,79.434788270000,0.000000000000000000
CWF-4B,1988-08-01,3765.61,80.001241940000,0.000000000000000000
CWF-4B,1988-09-01,3765.71,72.040524110000,0.000000000000000000
CWF-4B,1988-10-01,3764.44,66.960437480000,0.000000000000000000
CWF-4B,1988-11-01,3764.37,45.041806850000,0.000000000000000000
CWF-4B,1988-12-01,3764.22,40.507783730000,0.000000000000000000
CWF-4B,1989-01-01,3763.26,47.486556330000,0.000000000000000000
CWF-4B,1989-02-01,3763.63,50.488735670000,0.000000000000000000
CWF-4B,1989-03-01,3763.07,68.380222760000,0.000158161000000000
CWF-4B,1989-04-01,3762.19,75.486509850000,0.000000000000000000
CWF-4B,1989-05-01,3763.95,76.475312390000,0.000000000000000000
CWF-4B,1989-06-01,3762.64,86.490465780000,0.000000000000000000
CWF-4B,1989-07-01,3762.85,82.992518910000,0.000194295000000000
CWF-4B,1989-08-01,3764.66,76.501260460000,0.000193418000000000
CWF-4B,1989-09-01,3765.29,78.477939090000,0.000326148000000000
CWF-4B,1989-10-01,3761.55,50.000491940000,0.000000000000000000
CWF-4B,1989-11-01,3760.43,52.040076750000,0.000000000000000000
CWF-4B,1989-12-01,3762.11,44.498501900000,0.000000000000000000
CWF-4B,1990-01-01,3762.66,39.521349840000,0.000256423000000000
CWF-4B,1990-02-01,3762.51,42.027518360000,0.000000000000000000
CWF-4B,1990-03-01,3764.25,55.530243660000,0.000000000000000000
CWF-4B,1990-04-01,3763.86,62.565787170000,0.000000000000000000
CWF-4B,1990-05-01,3763.39,78.922838940000,0.000000000000000000
CWF-4B,1990-06-01,3762.53,86.013178190000,0.000000000000000000
CWF-4B,1990-07-01,3764.49,81.968729800000,0.000973710000000000
CWF-4B,1990-08-01,3763.49,80.987558720000,0.000000000000000000
CWF-4B,1990-09-01,3765.17,71.336179080000,0.007689153000000000
CWF-4B,1990-10-01,3760.60,66.453512150000,0.000000000000000000
CWF-4B,1990-11-01,3760.42,52.222960375000,0.000000000000000000
CWF-4B,1990-12-01,3760.31,33.976518995000,0.000000000000000000
CWF-4B,1991-01-01,3761.94,39.940025040000,0.000348197000000000
CWF-4B,1991-02-01,3763.00,52.679316685000,0.000000000000000000
CWF-4B,1991-03-01,3765.05,53.522612200000,0.000000000000000000
CWF-4B,1991-04-01,3763.94,63.211215250000,0.000000000000000000
CWF-4B,1991-05-01,3762.27,75.439167370000,0.000038895416666667
CWF-4B,1991-06-01,3762.71,84.437143037500,0.000002686361111111
