,id,date,wl,precip,mean_temp
1,CWF-1A,1985-02-01,3766.365,0.0,48.492062364999995
2,CWF-1A,1985-03-01,3767.67,0.0,44.5139915
3,CWF-1A,1985-04-01,3767.88,0.0,71.8342334
4,CWF-1A,1985-05-01,3768.16,0.0,73.95742901
6,CWF-1A,1985-06-01,3768.79,0.0,76.55196102
7,CWF-1A,1985-07-01,3769.23,0.0,85.43416816
9,CWF-1A,1985-11-01,3767.2200000000003,0.0,50.50108641
10,CWF-1A,1985-12-01,3766.98,0.0,38.01832671
11,CWF-1A,1986-01-01,3767.68,0.0,49.38026799
12,CWF-1A,1986-02-01,3767.94,0.0,63.88444602
13,CWF-1A,1986-03-01,3768.24,0.0,45.00602355
14,CWF-1A,1986-04-01,3768.74,0.0,67.01560265
15,CWF-1A,1986-06-01,3769.03,0.048875207,74.48343637
16,CWF-1A,1986-07-01,3769.58,0.195516664,77.99223605
17,CWF-1A,1986-08-01,3769.27,0.001492937,76.96555583
18,CWF-1A,1986-09-01,3768.58,0.0,75.49558066
19,CWF-1A,1986-10-01,3769.56,0.0,66.49542873
21,CWF-1A,1986-11-01,3769.05,0.0,45.467020274999996
22,CWF-1A,1987-01-01,3769.42,0.0,44.51800816
23,CWF-1A,1987-12-01,3767.27,0.0,41.50716731
24,CWF-1A,1988-12-01,3767.39,0.0,40.50634129
25,CWF-1A,1989-01-01,3767.14,0.0,47.48906499
26,CWF-1A,1989-02-01,3767.36,0.0,50.49083583
27,CWF-1A,1989-03-01,3769.26,0.000128647,68.40288648
28,CWF-1A,1989-04-01,3768.37,0.0,75.48903537
29,CWF-1A,1989-05-01,3768.55,0.0,76.47998576
30,CWF-1A,1989-06-01,3769.23,0.0,86.49220479
31,CWF-1A,1989-07-01,3769.08,0.000158659,82.99393132
32,CWF-1A,1989-08-01,3769.1,0.000157151,76.5010061
33,CWF-1A,1989-09-01,3767.75,0.000257867,78.48208128
34,CWF-1A,1989-10-01,3767.13,0.0,50.00040105
35,CWF-1A,1989-11-01,3766.74,0.0,52.03251527
36,CWF-1A,1989-12-01,3766.56,0.0,44.49875865
37,CWF-1A,1990-01-01,3766.62,0.000205127,39.51729018
38,CWF-1A,1990-02-01,3766.61,0.0,42.02221551
39,CWF-1A,1990-03-01,3768.5,0.0,55.52447789
40,CWF-1A,1990-04-01,3768.04,0.0,62.55330037
41,CWF-1A,1990-05-01,3768.32,0.0,78.93742171
42,CWF-1A,1990-06-01,3769.28,0.0,86.01066238
43,CWF-1A,1990-07-01,3769.05,0.000780296,81.97459688
44,CWF-1A,1990-08-01,3768.82,0.0,80.98987485
